lead_id,school_name,city,website,domain,provider,source_query,address,phone,contact_email,contact_role,contact_form_url,contact_page,about_page,about_page_url,staff_page_url,personalization_hook,enriched_at,email1_path,followup_path,brief_path,notes
9ab93dde-9292-4f27-9309-878a73102545,Downey Christian School,"Downey, CA",https://downeychristianschool.org/,downeychristianschool.org,serpapi,Private school Downey CA,"10335 Paramount Blvd, Downey, CA 90241",(562) 927-7540,,,,,,,,,,,,,
9bfd0f9a-60c0-42e2-845b-59107443df7a,Calvary Chapel Christian School,"Downey, CA",http://cccsdowney.org/,cccsdowney.org,serpapi,Private school Downey CA,"12808 Woodruff Ave, Downey, CA 90242",(562) 803-4076,,,,,,,,,,,,,
69843abe-d39a-4648-9339-2d3afea6e709,"Creative Beginnings Elementary, Inc","Downey, CA",http://cbekids.com/,cbekids.com,serpapi,Private school Downey CA,"8033 3rd St, Downey, CA 90241",(562) 861-1499,,,,,,,,,,,,,
0977e866-a4c5-462e-bfc6-57be49370dcd,Ellemercito Academy,"Downey, CA",https://ellemercito.org/,ellemercito.org,serpapi,Private school Downey CA,"10544 Downey Ave, Downey, CA 90241",(562) 600-8406,,,,,,,,,,,,,
b7d3b4ca-7677-4ada-9814-688b23e3aae6,Our Lady of Perpetual Help School,"Downey, CA",http://ourladyschool.com/,ourladyschool.com,serpapi,Private school Downey CA,"10441 Downey Ave, Downey, CA 90241",(562) 869-9969,,,,,,,,,,,,,
48cf3641-dc0a-4ef1-98f9-b898802c454d,Montessori Academy of Downey,"Downey, CA",http://montessori-academy.com/,montessori-academy.com,serpapi,Private school Downey CA,"7515 Firestone Blvd, Downey, CA 90241",(562) 291-2324,,,,,,,,,,,,,
3d2f7d20-82a6-44e9-97eb-8f3ed9bb5692,Kirkwood Christian School's Elementary,"Downey, CA",https://kirkwoodchristianschools.org/,kirkwoodchristianschools.org,serpapi,Private school Downey CA,"11115 Pangborn Ave, Downey, CA 90241",(562) 904-6911,,,,,,,,,,,,,
f7a5388b-1da8-4120-bba9-5c5e9d01280e,St Raymond School,"Downey, CA",http://www.straymondschool-downey.org/,straymondschool-downey.org,serpapi,Private school Downey CA,"12320 Paramount Blvd, Downey, CA 90242",(562) 862-3210,,,,,,,,,,,,,
22ec93b8-1c22-4bf9-acba-c3e2dc1e443c,Children's Academy of Success,"Downey, CA",https://www.childrensacademyofsuccess.org/contact-us,childrensacademyofsuccess.org,serpapi,Private school Downey CA,"10839 La Reina Ave Suite 100, Downey, CA 90241",(562) 231-4373,,,,,,,,,,,,,
bff045a9-f609-4114-893a-817556587b83,Onward Scholars at St. Pius X-St. Matthias Academy,"Downey, CA",http://onwardscholars.org/st-pius-x-st-matthias-academy,onwardscholars.org,serpapi,Catholic school Downey CA,"7851 Gardendale St, Downey, CA 90242",(562) 861-2271,,,,,,,,,,,,,
